Film Name,Year,Duration,Ratings,Number of Rators,Summary,Votes
23. Jaane Jaan,2023,2h 19mTV-MA,7.0, (11K),A single mother and her daughter commit a crime and a neighbor helps them cover it up amid the police investigation.,"11,447"
24. Rocky Aur Rani Kii Prem Kahaani,2023,2h 48mNot Rated,6.7, (39K),"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.","39,140"
25. Life of Pi,2012,2h 7mPG,7.9, (657K),"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","656,905"
26. Kabir Singh,2019,2h 53mNot Rated,7.0, (38K),"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.","38,146"
27. Apurva,2023,1h 35m,6.2, (1.6K),"Apurva, a female protagonist outwit infamous gang of Chambal decoits.","1,553"
28. Khufiya,2023,2h 37mTV-MA,6.0, (5.4K),"Krishna Mehra is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.","5,443"
29. Lion,2016,1h 58mPG-13,8.0, (247K),"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","247,155"
30. Thank You for Coming,2023,1h 59m,5.1, (7.4K),"When five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love.","7,381"
31. Fighter,2024,,N/a,,An aspirational young man named Shamsher Pathania must overcome his obstacles after enlisting in the Indian Air Force in order to become a hero of the Indian Armed Forces.,N/a
32. Dangal,2016,2h 41mNot Rated,8.3, (204K),Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"204,436"
33. Jigarthanda Double X,2023,2h 52m,8.4, (2.6K),"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.","2,649"
34. The Darjeeling Limited,2007,1h 31mR,7.2, (213K),"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.","213,490"
35. Tiger Zinda Hai,2017,2h 41mNot Rated,5.9, (33K),"Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action drama that follows a daring rescue mission in Iraq.","32,782"
36. Pulimada,2023,1h 50m,5.5, (412),"After being left at the altar, an embittered police officer preys on a stranded tourist - while a deadly tiger in the area adds another layer of menace.",412
37. The BFG,2016,1h 57mPG,6.3, (92K),"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","91,698"
38. War,2019,2h 31mNot Rated,6.5, (31K),"Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins.","31,323"
39. Gadar 2,2023,2h 50mNot Rated,5.3, (21K),"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.","21,039"
40. Gandhi,1982,3h 11mPG,8.0, (238K),The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"238,269"
41. Sirf Ek Bandaa Kaafi Hai,2023,2h 12m,7.9, (26K),A common man with honesty and integrity can take on the system when he has truth on his side.,"26,225"
42. Yaariyan 2,2023,2h 28m,8.0, (11K),"After moving to Mumbai, three cousins experience difficulties in their romantic relationships.","10,891"
43. Shershaah,2021,2h 15mTV-14,8.3, (127K),"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.","127,387"
44. K.G.F: Chapter 2,2022,2h 46mNot Rated,8.3, (145K),"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.","144,832"
45. Ek Tha Tiger,2012,2h 12mNot Rated,5.6, (38K),India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,"37,749"
46. PK,2014,2h 33mNot Rated,8.1, (197K),An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,"197,406"
47. Ghost,2023,2h 12m,7.7, (6.7K),A Group of some people hijacked the jail in the city and demanding the release of ghost or elsewhere all the criminals will be set free.,"6,667"
48. My Name Is Khan,2010,2h 45mPG-13,7.9, (114K),An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,"113,755"
49. The Kerala Story,2023,2h 18m,7.2, (66K),"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.","66,072"
50. Like Stars on Earth,2007,2h 42mPG,8.3, (203K),"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","203,104"
51. Drishyam 2,2022,2h 20mNot Rated,8.2, (42K),A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,"41,751"
52. Drishyam,2015,2h 43mNot Rated,8.2, (92K),"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","91,935"
53. Tumbbad,2018,1h 44mNot Rated,8.2, (57K),A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"56,592"
54. Mangalavaaram,2023,2h 25m,7.1, (383),"Fear engulfs a village as murders pile up mysteriously. Shailu, a young woman is the heart of the story and the enigmatic tale unravels with a suspenseful cinematic journey.",383
55. Dhoomam,2023,2h 23m,5.5, (583),"Avinash wants to quit his marketing job at a top cigarette company, but it comes with consequences.",583
56. Fukrey,2013,2h 19mNot Rated,6.9, (13K),"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.","13,051"
57. Bad Boy,2023,2h 2m,7.2, (8.5K),A light comedy about a good-for-nothing boy who falls in love with a studious girl from a conservative family. Thus the funny conflict and situations that pop up.,"8,524"
58. Saptha Sagaradaache Ello - Side A,2023,2h 22m,8.3, (5.5K),"Manu and Priya hail from a middle-class background and fall in love. When circumstances land Manu in jail, his relationship with Priya is put in jeopardy.","5,495"
59. Sanju,2018,2h 35mTV-MA,7.6, (59K),"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.","59,354"
60. The Hundred-Foot Journey,2014,2h 2mPG,7.3, (87K),The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,"86,603"
61. Tejas,2023,1h 52m,6.9, (21K),"Revolves around the extraordinary journey of Tejas Gill, an Air Force pilot, and aims to inspire and instill a deep sense of pride in the valiant soldiers who tirelessly defend India, confronting numerous challenges along the way.","21,373"
62. Kadak Singh,2023,,8.5, (39),AK Srivastava an officer of the Department of Financial Crimes is diagnosed with retrograde amnesia despite which he solves the case of a Chit Fund Scam by listening to different perspectives of who he was and how he came to the hospital.,39
63. Pushpa: The Rise - Part 1,2021,2h 59mNot Rated,7.6, (84K),"A labourer rises through the ranks of a red sandal smuggling syndicate, making some powerful enemies in the process.","84,147"
64. Andhadhun,2018,2h 19mNot Rated,8.2, (100K),"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","100,096"
65. Bholaa,2023,2h 24mNot Rated,5.9, (22K),"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.","22,011"
66. Lust Stories 2,2023,2h 12mTV-MA,6.5, (51K),"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".","50,781"
67. Tamasha,2015,2h 19mNot Rated,7.3, (31K),"A boy meets a girl, in Corsica. They decide not to reveal their real name or personality.","30,680"
68. Bajrangi Bhaijaan,2015,2h 43mNot Rated,8.1, (96K),An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"95,559"
69. '83,2021,2h 42mTV-14,7.5, (40K),"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.","40,177"
70. Chor Nikal Ke Bhaga,2023,1h 50mTV-MA,7.4, (52K),"A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.","51,780"
71. Zindagi Na Milegi Dobara,2011,2h 35mNot Rated,8.2, (84K),Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"83,982"
72. Rockstar,2011,2h 39mNot Rated,7.7, (48K),"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.","47,530"
73. Kalki 2898 AD,2024,,N/a,,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces.",N/a
74. The White Tiger,2021,2h 5mR,7.1, (64K),An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,"64,347"
75. Fukrey Returns,2017,2h 21mNot Rated,6.5, (6.2K),"Just out of jail, a don is ready to get back at the four friends who conned her.","6,194"
76. Laal Singh Chaddha,2022,2h 39mPG-13,5.6, (177K),"The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness.","177,109"
77. Ganapath,2023,2h 13mNot Rated,5.3, (9.5K),"In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark.","9,503"
78. Gumraah,2023,2h 10mNot Rated,6.5, (5.4K),The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.,"5,378"
79. Kuch Kuch Hota Hai,1998,2h 57mNot Rated,7.5, (56K),"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.","56,050"
80. Vikram Vedha,2022,2h 40mNot Rated,7.1, (23K),A tough police officer sets out to track down and kill an equally tough gangster.,"23,224"
81. Tu Jhoothi Main Makkaar,2023,2h 30mNot Rated,6.0, (26K),"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.","25,538"
82. Kanguva,2024,,N/a,,N/a,N/a
83. Sardar Udham,2021,2h 44mTV-MA,8.4, (46K),"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.","45,933"
84. Brahmastra Part One: Shiva,2022,2h 47mNot Rated,5.6, (110K),"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.","110,435"
85. Yeh Jawaani Hai Deewani,2013,2h 40mNot Rated,7.2, (50K),"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.","50,066"
86. Devdas,2002,3h 5mNot Rated,7.5, (46K),"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.","45,645"
87. Freddy,2022,2h 4m,7.4, (33K),The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,"33,202"
88. Qala,2022,1h 59mTV-MA,7.2, (7.1K),"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.","7,066"
89. K.G.F: Chapter 1,2018,2h 34mNot Rated,8.2, (95K),"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.","95,278"
90. Jab Tak Hai Jaan,2012,2h 56mNot Rated,6.7, (58K),An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,"58,228"
91. Dangerous,2022,1h 39m,5.2, (1.1K),Dangerous is a story of two women who have some bad experiences with men and in due course passionately fall in love with each other. The film's story proceeds with how violently they fight the men to protect their love leads to an explosive climax.,"1,130"
92. Swades,2004,3h 9mNot Rated,8.2, (96K),A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"96,185"
93. Bhediya,2022,2h 36mNot Rated,6.8, (24K),"Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.","23,739"
94. Bajirao Mastani,2015,2h 38mNot Rated,7.2, (38K),"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.","37,895"
95. Zara Hatke Zara Bachke,2023,2h 12mNot Rated,6.5, (8.7K),"Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors.","8,710"
96. Zero,2018,2h 44mNot Rated,5.2, (30K),"The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life.","29,700"
97. IB 71,2023,1h 57mNot Rated,7.2, (9.8K),A spy action thriller about the two-front war between Indian intelligence agencies and the Pakistani establishment in 1971.,"9,753"
98. Mission Majnu,2023,2h 9mTV-MA,7.1, (43K),"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","43,186"
99. Martin Luther King,2023,2h 26m,7.2, (173),A man without a name or identity is suddenly wooed by two warring groups when he gets a Voter ID. Will he reap the benefits of his privilege or use it as a tool for social change?,173
100. The Lunchbox,2013,1h 44mPG,7.8, (60K),A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,"59,769"
101. Lagaan: Once Upon a Time in India,2001,3h 44mPG,8.1, (119K),The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"118,927"
102. Gangs of Wasseypur,2012,5h 21mNot Rated,8.2, (102K),"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","101,803"
103. The Buckingham Murders,2023,1h 50m,7.6, (252),"A grieving cop who loses her child to murder and moves to another town where she's tasked with investigating the disappearance of a missing child. Exploring themes of trauma, grief, the immigrant experience, and our need for closure.",252
"104. Monica, O My Darling",2022,2h 9mTV-MA,7.4, (20K),"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.","20,221"
105. Kal Ho Naa Ho,2003,3h 6mNot Rated,7.9, (74K),"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.","73,862"
106. Student of the Year 2,2019,2h 26mNot Rated,2.2, (22K),"A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.","21,945"
107. Dream Girl 2,2023,2h 14m,5.2, (10K),"Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.","10,332"
108. Chhichhore,2019,2h 23mNot Rated,8.3, (61K),"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.","60,941"
109. Satyaprem Ki Katha,2023,2h 26m,7.2, (28K),"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.","28,482"
110. 800,2023,2h 38m,8.5, (3.5K),"The biopic promises to bring Muttiah Muralitharan's inspirational journey to a global audience, shedding light on the challenges and triumphs that defined his illustrious cricket career.","3,497"
111. Don 2,2011,2h 28mNot Rated,7.1, (57K),"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","57,264"
112. Spark: L.I.F.E.,2023,2h 50m,9.6, (2K),"Jay's love for Ananya leads to a deadly chain of events while Lekha's dreams collide with a stranger named Arya. As suicide killings grip the nation, a sinister force entwines their lives. Is Arya a friend or a foe?","2,022"
113. Bloody Daddy,2023,2h 1m,6.6, (18K),"A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.","18,448"
114. Gaslight,2023,1h 51m,6.2, (25K),"Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.","24,715"
115. Barfi!,2012,2h 31mNot Rated,8.1, (85K),Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,"85,489"
116. Yalgaar,1992,3h 12mNot Rated,5.5, (505),"Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler. Mahendra have two sons who are also police officers namely Rajesh and Brajesh while on the other hand Singhal is also christened with two sons Vishal who helps develop his dad's business and Vicky who takes up employment in a garage. When Brajesh is killed by one of Mahendra's henchman; Rajesh swears to avenge the death of his brother even if having to take the law into his own hands. After Brajesh's death he leaves behind his widowed wife, Kaushalya and a young daughter, Meghna. On a chance encounter with both Meghna and Vicky both fall in love and the Kumars approve of Vicky as there future son in law unaware of his family background. And then Mahendra is given the post as police Commissioner; unable to bear this Singhal sets up another of his henchman to have Mahendra killed. To escape from the police and public officials Singhal and his family migrates to Dubai further escalating the blood shed between both the families that might continue for years.",505
117. Mahanati,2018,2h 57mNot Rated,8.4, (14K),"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.","14,055"
118. Raazi,2018,2h 18mNot Rated,7.7, (33K),A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,"33,188"
119. Darlings,2022,2h 13mTV-14,6.6, (21K),It follows the lives of two women as they find courage and love in exceptional circumstances.,"20,653"
120. Mimi,2021,2h 12mTV-14,7.8, (42K),Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,"42,293"
121. Dilwale Dulhania Le Jayenge,1995,3h 1mNot Rated,8.0, (75K),"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","75,234"
122. Merry Christmas,2024,,N/a,,"On Christmas Eve, an uneventful day turns the world of two people upside down.",N/a
123. Bride & Prejudice,2004,2h 2mPG-13,6.2, (22K),"A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family.","21,514"
124. Gully Boy,2019,2h 34mNot Rated,7.9, (43K),A coming-of-age story based on the lives of street rappers in Mumbai.,"42,638"
125. Gangubai Kathiawadi,2022,2h 32mTV-MA,7.8, (60K),"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.","60,073"
126. Kho Gaye Hum Kahan,2023,,N/a,,A digital age story of three friends living in Mumbai.,N/a
127. Bawaal,2023,2h 17m,6.6, (15K),A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,"15,136"
128. Adipurush,2023,2h 59m,3.5, (131K),A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.,"131,010"
129. Khichdi 2,2023,2h 1m,5.9, (262),Parekh family discovers that the King of Paanthukistan looks exactly like Praful. The family chooses to take advantage of this and change the village while looking out for themselves. Praful changes appearances and takes the king's place.,262
130. Kantara Chapter 1,2024,,N/a,,N/a,N/a
131. Mrs. Chatterjee vs. Norway,2023,2h 24mTV-MA,7.3, (9.1K),An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,"9,084"
132. Lust Stories,2018,2hTV-MA,6.4, (13K),"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","12,857"
133. Ludo,2020,2h 30mTV-MA,7.6, (43K),"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.","42,630"
134. Uri: The Surgical Strike,2019,2h 18mNot Rated,8.2, (70K),"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.","70,040"
135. Rahasya,2015,2h 3m,7.6, (5.2K),"A Doctor stands accused of killing his own eighteen-year old daughter. While this aggrieved father protests his innocence, all evidence points towards him irrefutably.","5,238"
136. Talvar,2015,2h 12mNot Rated,8.1, (37K),An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,"37,430"
137. Veer-Zaara,2004,3h 12mNot Rated,7.8, (56K),"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.","56,381"
138. Asoka,2001,3hR,6.4, (15K),The epic tale of King Asoka's life is recounted.,"14,962"
139. Laila Majnu,2018,2h 20m,7.7, (4K),"Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.","4,047"
140. Pushpa: The Rule - Part 2,2024,,N/a,,The clash is on as Pushpa and Bhanwar Singh continue their rivalry in this epic conclusion to the two-parted action drama.,N/a
141. Chup,2022,2h 15mNot Rated,7.6, (25K),A crime thriller in which police are on the hunt for a killer who is targeting film critics.,"24,555"
142. Om Shanti Om,2007,2h 42mNot Rated,6.7, (48K),"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.","48,291"
143. Rab Ne Bana Di Jodi,2008,2h 47mNot Rated,7.2, (52K),"A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.","52,378"
144. Ghajini,2008,3h 6mNot Rated,7.3, (66K),A short-term memory loss patient goes on a killing spree in order to avenge the death of his ladylove.,"65,809"
145. King of Kotha,2023,2h 54m,6.1, (7.1K),"In a crime-infested town, Kannan bhai and his gang are the reigning powers. To combat this reign and seek revenge, Inspector Shahul tactfully plots the return of the 'King', leading to a transformative turn of events.","7,101"
146. Por Thozhil,2023,2h 27m,8.0, (8.4K),A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"8,379"
147. Samosa & Sons,2023,1h 31m,6.3, (28),"A submissive small-town man married to an ultra-modern cosmopolitan is brainwashed into producing a son by his dead father's ghost. In time, he is hit by a startling realisation.",28
148. Street Fighter: The Legend of Chun-Li,2009,1h 36mPG-13,3.7, (25K),"When a child, Chun-Li sees her father being captured by wealthy gangster Bison. When she grows up, she goes into a quest for justice and bring down the criminal organization Shadaloo which is led by Bison.","25,135"
149. Kabhi Khushi Kabhie Gham...,2001,3h 30mNot Rated,7.4, (54K),"After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.","54,239"
150. Kisi Ka Bhai Kisi Ki Jaan,2023,2h 25mNot Rated,4.3, (40K),"The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.","40,155"
151. Badla,2019,1h 58mNot Rated,7.8, (30K),A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,"30,262"
152. Kolai,2023,2h 6m,5.1, (571),"When a famous model is killed, a smart detective investigates after realizing the incident seems to be a mystery.",571
153. Dil Chahta Hai,2001,3h 3mNot Rated,8.1, (75K),"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.","74,893"
